timestamp,open,high,low,close,volume
2011-03-20,655.88,655.88,655.88,655.88,0.0
2011-03-25,655.25,655.25,655.25,655.25,0.0
2011-03-27,660.63,660.63,660.63,660.63,0.0
2011-03-28,668.62,668.62,668.62,668.62,0.0
2011-03-29,670.35,670.35,670.35,670.35,0.0
2011-03-30,668.36,668.36,668.36,668.36,0.0
2011-03-31,673.19,673.19,673.19,673.19,0.0
2011-04-04,672.93,672.93,672.93,672.93,0.0
2011-04-05,676.91,676.91,676.91,676.91,0.0
2011-04-06,676.51,676.51,676.51,676.51,0.0
2011-04-07,676.63,676.63,676.63,676.63,0.0
2011-04-10,700.2,700.2,700.2,700.2,0.0
2011-04-11,714.02,714.02,714.02,714.02,0.0
2011-04-13,731.71,731.71,731.71,731.71,0.0
2011-04-17,727.21,727.21,727.21,727.21,0.0
2011-04-18,725.04,725.04,725.04,725.04,0.0
2011-04-19,724.08,724.08,724.08,724.08,0.0
2011-04-20,726.36,726.36,726.36,726.36,0.0
2011-04-21,726.36,726.36,726.36,726.36,0.0
2011-04-25,726.64,726.64,726.64,726.64,0.0
2011-04-26,727.22,727.22,727.22,727.22,0.0
2011-04-27,723.23,723.23,723.23,723.23,0.0
2011-04-28,717.33,717.33,717.33,717.33,0.0
2011-05-02,716.97,716.97,716.97,716.97,0.0
2011-05-03,716.53,716.53,716.53,716.53,0.0
2011-05-04,719.16,719.16,719.16,719.16,0.0
2011-05-05,716.86,716.86,716.86,716.86,0.0
2011-05-08,717.71,717.71,717.71,717.71,0.0
2011-05-09,716.88,716.88,716.88,716.88,0.0
2011-05-10,715.01,715.01,715.01,715.01,0.0
2011-05-11,718.76,718.76,718.76,718.76,0.0
2011-05-12,720.03,720.03,720.03,720.03,0.0
2011-05-15,693.61,693.61,693.61,693.61,0.0
2011-05-16,696.87,696.87,696.87,696.87,0.0
2011-05-18,664.11,664.11,664.11,664.11,0.0
2011-05-19,626.14,626.14,626.14,626.14,0.0
2011-05-22,605.35,605.35,605.35,605.35,0.0
2011-05-23,582.92,582.92,582.92,582.92,0.0
2011-05-24,576.2,576.2,576.2,576.2,0.0
2011-05-25,561.76,561.76,561.76,561.76,0.0
2011-05-26,552.54,552.54,552.54,552.54,0.0
2011-05-30,540.97,540.97,540.97,540.97,0.0
2011-05-31,528.89,528.89,528.89,528.89,0.0
2011-06-01,530.77,530.77,530.77,530.77,0.0
2011-06-02,530.43,530.43,530.43,530.43,0.0
2011-06-05,525.73,525.73,525.73,525.73,0.0
2011-06-06,525.47,525.47,525.47,525.47,0.0
2011-06-07,519.77,519.77,519.77,519.77,0.0
2011-06-08,520.08,520.08,520.08,520.08,0.0
2011-06-09,505.9,505.9,505.9,505.9,0.0
2011-06-12,500.98,500.98,500.98,500.98,0.0
2011-06-13,486.19,486.19,486.19,486.19,0.0
2011-06-14,472.97,472.97,472.97,472.97,0.0
2011-06-15,477.46,477.46,477.46,477.46,0.0
2011-06-16,485.2,485.2,485.2,485.2,0.0
2011-06-20,543.39,543.39,543.39,543.39,0.0
2011-06-21,574.64,574.64,574.64,574.64,0.0
2011-06-23,625.55,625.55,625.55,625.55,0.0
2011-06-26,594.27,594.27,594.27,594.27,0.0
2011-06-27,560.44,560.44,560.44,560.44,0.0
2011-06-29,574.68,574.68,574.68,574.68,0.0
2011-06-30,564.8,564.8,564.8,564.8,0.0
2011-07-03,562.19,562.19,562.19,562.19,0.0
2011-07-04,569.71,569.71,569.71,569.71,0.0
2011-07-05,569.12,569.12,569.12,569.12,0.0
2011-07-06,602.6,602.6,602.6,602.6,0.0
2011-07-07,608.33,608.33,608.33,608.33,0.0
2011-07-10,602.84,602.84,602.84,602.84,0.0
2011-07-11,615.77,615.77,615.77,615.77,0.0
2011-07-12,642.11,642.11,642.11,642.11,0.0
2011-07-13,651.66,651.66,651.66,651.66,0.0
2011-07-14,660.38,660.38,660.38,660.38,0.0
2011-07-17,687.65,687.65,687.65,687.65,0.0
2011-07-18,701.53,701.53,701.53,701.53,0.0
2011-07-19,700.31,700.31,700.31,700.31,0.0
2011-07-20,684.27,684.27,684.27,684.27,0.0
2011-07-21,642.68,642.68,642.68,642.68,0.0
2011-07-24,608.36,608.36,608.36,608.36,0.0
2011-07-25,569.45,569.45,569.45,569.45,0.0
2011-07-26,575.09,575.09,575.09,575.09,0.0
2011-07-27,570.79,570.79,570.79,570.79,0.0
2011-07-28,573.19,573.19,573.19,573.19,0.0
2011-07-31,567.23,567.23,567.23,567.23,0.0
2011-08-01,568.95,568.95,568.95,568.95,0.0
2011-08-02,576.92,576.92,576.92,576.92,0.0
2011-08-03,570.93,570.93,570.93,570.93,0.0
2011-08-04,562.78,562.78,562.78,562.78,0.0
2011-08-07,559.44,559.44,559.44,559.44,0.0
2011-08-08,564.48,564.48,564.48,564.48,0.0
2011-08-09,553.97,553.97,553.97,553.97,0.0
2011-08-10,559.47,559.47,559.47,559.47,0.0
2011-08-11,557.4,557.4,557.4,557.4,0.0
2011-08-15,556.4,556.4,556.4,556.4,0.0
2011-08-16,566.17,566.17,566.17,566.17,0.0
2011-08-17,568.04,568.04,568.04,568.04,0.0
2011-08-18,568.31,568.31,568.31,568.31,0.0
2011-08-22,567.37,567.37,567.37,567.37,0.0
2011-08-23,569.59,569.59,569.59,569.59,0.0
2011-08-24,563.88,563.88,563.88,563.88,0.0
2011-08-25,574.58,574.58,574.58,574.58,0.0
2011-08-28,567.91,567.91,567.91,567.91,0.0
2011-08-29,563.82,563.82,563.82,563.82,0.0
2011-08-30,567.88,567.88,567.88,567.88,0.0
2011-09-01,569.34,569.34,569.34,569.34,0.0
